"","log2FoldChange","padj","Factor"
"ko:K01875",0.378598397977415,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01881",1.06314915431559,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01889",-0.231157260673993,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01890",-0.349810569586048,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01892",-0.81816169927959,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01893",-0.516880418190576,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01953",-0.570107057423785,0.719268392629452,"Menthol_Menthol_vs_Control"
"ko:K02105",-0.179878380681066,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02111",-2.17323636264713,0.631425568639373,"Menthol_Menthol_vs_Control"
"ko:K02112",-0.112908193547843,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02146",-0.658625419361791,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02149",-0.207717165499407,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02152",0.00194683653482728,0.998808309634153,"Menthol_Menthol_vs_Control"
"ko:K02155",-0.323120406265825,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02183",0.400110390199686,0.425682284135626,"Menthol_Menthol_vs_Control"
"ko:K02219",0.385556312790869,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02267",-0.933362168423452,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02437",0.130407653215755,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02503",-1.16059577815014,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02635",-0.0913983762744586,0.948774040140884,"Menthol_Menthol_vs_Control"
"ko:K02639",-1.59127481907319,0.907757096390501,"Menthol_Menthol_vs_Control"
"ko:K02703",0.684535980248425,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02705",0.734503157091417,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02706",-0.222908586670879,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02725",-1.17078011312348,0.944804636513613,"Menthol_Menthol_vs_Control"
